FR_1,FR_2,FR_3,FL_1,FL_2,FL_3,BR_1,BR_2,BR_3,BL_1,BL_2,BL_3
178.86656580038368,37.23241831173752,-99.60609206766436,180.946896211361,136.6410460796685,98.12398522795189,179.053103788639,46.140036648044585,-81.39502487783443,181.13343419961635,138.69776342719615,79.27187941068897
178.87324008487045,36.482759680758335,-98.87838382501543,180.9472425619147,136.3630782686525,98.10298413050258,179.0527574380853,46.40081927110195,-81.38344101818869,181.12675991512955,139.45414286153627,79.9524956363454
178.88078554746602,35.747074882724824,-98.0761970416264,180.94761846441818,136.07733727762536,98.08166388998275,179.05238153558182,46.66882041896629,-81.37126669108956,181.11921445253398,140.20022685578675,80.71162162740853
178.88821791683816,35.11117464065654,-97.30128321026235,180.9479764902441,135.8180227963445,98.06264003238485,179.0520235097559,46.91196566735523,-81.35988968625769,181.11178208316184,140.8484994968119,81.45224571312346
178.89600540481138,34.518900203461115,-96.5006795787416,180.94834179921526,135.56433381518536,98.044411471749,179.05165820078474,47.14976688099311,-81.34836800542642,181.10399459518862,141.4554599984193,82.2237654181318
178.90491321166257,33.91538899222667,-95.59420950047615,180.94875053851283,135.2916259798966,98.02533340421806,179.0512494614872,47.405313850010494,-81.33544965712173,181.0950867883374,142.07746789546673,83.10391289242055
178.91424207973566,33.351283614563634,-94.6507990103146,180.9491712738705,135.02145627372343,98.00706399193692,179.05082872612948,47.65839251124038,-81.32199764589781,181.0857579202643,142.66251238122314,84.02627617743845
178.92440753655865,32.80028355575101,-93.6248260987636,180.9496244726997,134.7407155669445,97.9888621945588,179.05037552730033,47.92127158701452,-81.30720511119353,181.07559246344138,143.2378447151965,85.03561778792019
178.93522284912459,32.27310073086148,-92.53073690844731,180.9501040940473,134.4536069211689,97.97120326940237,179.0498959059527,48.18999804876073,-81.29107908531581,181.06477715087541,143.79240575453818,86.11810142118242
178.9450148322428,31.838864017556368,-91.53419711507016,180.95053901485764,134.20097567469782,97.95657599733278,179.04946098514236,48.42635106147074,-81.27593554695066,181.0549851677572,144.25261571191484,87.10880989719361
178.95435682837783,31.456499681978812,-90.57536769717743,180.9509571205005,133.96418840896564,97.94373393484715,179.04904287949947,48.64778716026934,-81.26083095453318,181.04564317162217,144.66073788740238,88.06575543632971
178.9630972178752,31.12300471343788,-89.66908933611153,180.95135339595618,133.74465871842813,97.9326546073579,179.04864660404382,48.85299851037279,-81.24595794451885,181.03690278212483,145.01916704487587,88.97325071067708
178.97205929974965,30.80240787983775,-88.72879915744197,180.9517674055475,133.51986193039076,97.92220980617962,179.04823259445251,49.06304277394792,-81.22977997224,181.02794070025035,145.36616345590255,89.91759768971401
178.9823843147218,30.45708023587696,-87.62959836242047,180.95225813514747,133.25879639797344,97.9113267223111,179.04774186485253,49.306853746502576,-81.20967684805505,181.0176156852782,145.74297572971125,91.0248699289183
178.9905367702401,30.201374974539355,-86.74833220436562,180.95265998232088,133.04891215977517,97.90363128941705,179.04734001767912,49.502765758330334,-81.19240177143497,181.0094632297599,146.0243957571997,91.9150711209851
178.99990142127038,29.925995251125446,-85.72037921507209,180.95314339218638,132.8005725083026,97.89584102010487,179.04685660781362,49.734450845686034,-81.17057088396376,181.00009857872962,146.33033809982885,92.95619693081107
179.00752810223457,29.717399012347535,-84.87045373007291,180.9535608924697,132.58936317623224,97.89042092641827,179.0464391075303,49.93138576966718,-81.15072797448126,180.99247189776543,146.5647482001052,93.81936930078254
179.01472979225835,29.535899032876216,-84.05763117567228,180.95398297663422,132.37859664836003,97.88619624234066,179.04601702336578,50.12780170570059,-81.1296719138447,180.98527020774165,146.77153746323572,94.64712376289036
